,subid,uuid,gender,test_trial,age_in_years,option1,option2,trial_audio,selected_image,lang,parent_mask,peer_mask,own_mask
84,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,26-null,2.704109589,scared3,angry5_2,Scared_2_pause_2,option1,en,Often,Sometimes,Rarely
85,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,27-null,2.704109589,happy6,sad6,Happy_1_pause_2,option1,en,Often,Sometimes,Rarely
86,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,28-null,2.704109589,angry2,scared2,Angry_1_pause_2,option2,en,Often,Sometimes,Rarely
87,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,29-null,2.704109589,angry3,happy1,Angry_2_pause_2,option1,en,Often,Sometimes,Rarely
88,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,30-null,2.704109589,sad2_2,scared5,Sad_2_pause_2,option2,en,Often,Sometimes,Rarely
89,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,31-null,2.704109589,scared5,happy5,Scared_1_pause_2,option2,en,Often,Sometimes,Rarely
90,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,32-null,2.704109589,scared1,sad6,Sad_1_pause_2,option2,en,Often,Sometimes,Rarely
91,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,33-null,2.704109589,angry3,sad5,Sad_1_pause_2,option2,en,Often,Sometimes,Rarely
92,58570,af3b1345-c073-43ce-9a9b-b7fa10a97316,m,34-null,2.704109589,happy5,sad5,Happy_1_pause_2,option1,en,Often,Sometimes,Rarely
93,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,11-null,4.252054795,angry4,sad3,Angry_1_pause_2,option1,en,Often,Often,Often
94,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,12-null,4.252054795,happy4,sad5,Happy_2_pause_2,option1,en,Often,Often,Often
95,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,13-null,4.252054795,sad5,scared3,Sad_2_pause_2,option2,en,Often,Often,Often
96,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,14-null,4.252054795,happy1,sad2_2,Sad_1_pause_2,option2,en,Often,Often,Often
97,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,16-null,4.252054795,angry3,scared1,Scared_2_pause_2,option2,en,Often,Often,Often
98,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,17-null,4.252054795,angry2,scared4,Angry_2_pause_2,option1,en,Often,Often,Often
99,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,18-null,4.252054795,sad1_2,happy3_2,Sad_2_pause_2,option1,en,Often,Often,Often
100,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,19-null,4.252054795,angry5_2,happy2,Angry_1_pause_2,option1,en,Often,Often,Often
101,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,20-null,4.252054795,happy2,angry6,Happy_1_pause_2,option1,en,Often,Often,Often
102,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,21-null,4.252054795,scared4,sad4,Scared_1_pause_2,option1,en,Often,Often,Often
103,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,22-null,4.252054795,angry4,scared2,Scared_2_pause_2,option2,en,Often,Often,Often
104,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,23-null,4.252054795,sad3,angry1_2,Sad_1_pause_2,option1,en,Often,Often,Often
105,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,24-null,4.252054795,scared5,happy3_2,Happy_2_pause_2,option2,en,Often,Often,Often
106,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,25-null,4.252054795,sad1_2,scared6,Scared_1_pause_2,option2,en,Often,Often,Often
107,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,26-null,4.252054795,happy6,angry3,Angry_2_pause_2,option2,en,Often,Often,Often
108,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,27-null,4.252054795,angry1_2,sad6,Angry_1_pause_2,option1,en,Often,Often,Often
109,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,28-null,4.252054795,scared3,happy4,Scared_1_pause_2,option1,en,Often,Often,Often
110,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,29-null,4.252054795,happy1,angry2,Happy_1_pause_2,option1,en,Often,Often,Often
111,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,30-null,4.252054795,happy5,sad2_2,Happy_1_pause_2,option1,en,Often,Often,Often
112,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,31-null,4.252054795,scared2,angry6,Angry_2_pause_2,option2,en,Often,Often,Often
113,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,32-null,4.252054795,sad4,angry5_2,Sad_2_pause_2,option1,en,Often,Often,Often
114,58616,34784a80-d60b-4f67-89d9-8c06da87a8ff,m,33-null,4.252054795,scared1,sad6,Sad_1_pause_2,option2,en,Often,Often,Often
